ID,Species,faith_pd
G21040304G6B,N. concolor,32.71540979
G21040803G4B16,N. concolor,23.41436704
G21041501G4B09,N. concolor,32.51142458
G210426G5M3,N. concolor,27.66760214
G21040806G4B,N. concolor,28.29674593
G21040801G4C12,N. concolor,33.91526942
G21040802G4D,N. concolor,29.48178269
G21040502G4B09,N. concolor,35.03830566
G21040504G4B,N. concolor,36.18706876
G21041301G5M3,N. concolor,30.12415064
G21040901G6A,N. concolor,30.65462673
G21040904G6B16,N. concolor,27.23034237
G21041801G6M2,N. concolor,27.63999045
G21040701G6M2,N. concolor,30.21624608
G21040501G6M2,N. concolor,33.19543088
G21030302G6A,N. concolor,27.56217092
G21030305G4B16,N. concolor,31.60958027
G22012009G6B16,N. concolor,22.28905637
G22011202G6B16,N. concolor,27.76916666
G22012904G6M2,N. concolor,24.32876269
G22011004G6M2,N. concolor,23.87412708
G22012005G6B16,N. concolor,33.19454676
G22010903G4B12,N. concolor,26.93670404
G22011801G5B,N. concolor,34.09439398
G22011102G5B13,N. concolor,25.37418815
G22011802G5M3,N. concolor,33.54842651
G22011101G5A,N. concolor,26.52377409
G22011702G4D,N. concolor,29.74951465
G22011701G4D18,N. concolor,25.9817723
G22011703G4B12,N. concolor,30.09331488
G22010203G6A16,N. concolor,24.90067593
G22012801G6A19,N. concolor,29.78497025
G22011001G6A19,N. concolor,26.73708464
G22011201G5A,N. concolor,32.12642226
G22012905G6B,N. concolor,26.67948764
G22012001G6B16,N. concolor,38.65070336
G22011102G6A19,N. concolor,29.12729086
G22012003G6B,N. concolor,25.82075578
G22012902G6A19,N. concolor,34.40389168
G22011202G5B,N. concolor,29.13301518
G22011704G4B,N. concolor,31.62558184
G22010901G4B12,N. concolor,21.43883361
G22010904G6B,N. concolor,18.1471954
G22010802G6B16,N. concolor,22.91058071
G22010801G6A16,N. concolor,26.92852963
G22011002G6A13,N. concolor,27.83732024
G22012007G6M2,N. concolor,27.86197447
G22010205G6B16,N. concolor,23.05414208
G22012901G6A16,N. concolor,31.47210293
G22012002G6A,N. concolor,29.15215401
G22012006G6A19,N. concolor,31.98062557
G22012004G6M2,N. concolor,36.605088
G22012903G6A,N. concolor,30.82593345
G22011401G6B,N. concolor,36.7809847
G22010903G6A,N. concolor,19.59966584
G22011801G6B16,N. concolor,35.12380366
G21071001G6A19,N. concolor,31.12520251
G21070801G6B,N. concolor,27.12853726
G21071003G6M2,N. concolor,32.52695469
G21071004G6A13,N. concolor,26.33457094
G21070802G6A,N. concolor,28.23557867
G21070803G6A16,N. concolor,36.50129793
G21070804G6A16,N. concolor,30.33013983
G21071201G6A13,N. concolor,29.74042425
G21071202G6A13,N. concolor,28.4356197
G21070803G5B13,N. concolor,28.80609883
G21070801G5M3,N. concolor,29.63650442
G21070901G5M3,N. concolor,32.78064404
G21071102G5A,N. concolor,27.95696313
G21030307G4D,N. concolor,36.47391021
G21030308G4B09,N. concolor,36.09562831
G21030310G4B,N. concolor,33.76345064
G21030304G4C12,N. concolor,31.62750541
G21030306G4M2,N. concolor,32.14399182
G21051402G5B13,N. concolor,20.609596
G21111301G5B13,N. concolor,21.14151038
G21110401G6A19,N. concolor,23.21644754
G21110402G6A16,N. concolor,29.649872
G21062206G6M2,N. concolor,31.31028414
G21062201G6A,N. concolor,34.3427441
G21062203G6M2,N. concolor,30.28482845
G21062204G6B16,N. concolor,26.67011989
G21061801G6B,N. concolor,26.61402657
G21110804G6A,N. concolor,17.69846909
G21110803G6A19,N. concolor,27.51986176
G21101601G6B,N. concolor,22.57816387
G21100104G6M2,N. concolor,24.33957871
G21111801G6B,N. concolor,24.05684169
G21101305G6A16,N. concolor,24.805722
G21100201G6M2,N. concolor,26.9432278
G21100202G6M2,N. concolor,27.41597177
G21101303G6A,N. concolor,27.52588154
G21112201G6B,N. concolor,21.28569397
G21110801G6A13,N. concolor,23.36966585
G21110702G6A,N. concolor,22.0017192
G21101301G6B,N. concolor,22.52852148
G21101302G6A,N. concolor,26.15039211
G21100105G6A,N. concolor,25.85234561
G21100106G6B,N. concolor,25.90502629
G21100108G6B16,N. concolor,27.83320625
G21101202G6M2,N. concolor,34.31363319
G21100101G6A16,N. concolor,25.70716054
G21100103G6A13,N. concolor,22.9250278
G21101304G6B,N. concolor,20.85855329
G21110301G5B13,N. concolor,26.03933103
G21111401G5B13,N. concolor,26.08603157
G21112501G5A,N. concolor,21.3401157
G21092501G4B,N. concolor,24.13159131
G21092503G4B12,N. concolor,23.59627941
G21092406G4C12,N. concolor,24.20039005
