ID,Species,month
G21040304G6B,N. concolor,4
G21040803G4B16,N. concolor,4
G21041501G4B09,N. concolor,4
G210426G5M3,N. concolor,4
G21040806G4B,N. concolor,4
G21040801G4C12,N. concolor,4
G21040802G4D,N. concolor,4
G21040502G4B09,N. concolor,4
G21040504G4B,N. concolor,4
G21041301G5M3,N. concolor,4
G21040901G6A,N. concolor,4
G21040904G6B16,N. concolor,4
G21041801G6M2,N. concolor,4
G21040701G6M2,N. concolor,4
G21040501G6M2,N. concolor,4
G21030302G6A,N. concolor,3
G21030305G4B16,N. concolor,3
G22012009G6B16,N. concolor,1
G22011202G6B16,N. concolor,1
G22012904G6M2,N. concolor,1
G22011004G6M2,N. concolor,1
G22012005G6B16,N. concolor,1
G22010903G4B12,N. concolor,1
G22011801G5B,N. concolor,1
G22011102G5B13,N. concolor,1
G22011802G5M3,N. concolor,1
G22011101G5A,N. concolor,1
G22011702G4D,N. concolor,1
G22011701G4D18,N. concolor,1
G22011703G4B12,N. concolor,1
G22010203G6A16,N. concolor,1
G22012801G6A19,N. concolor,1
G22011001G6A19,N. concolor,1
G22011201G5A,N. concolor,1
G22012905G6B,N. concolor,1
G22012001G6B16,N. concolor,1
G22011102G6A19,N. concolor,1
G22012003G6B,N. concolor,1
G22012902G6A19,N. concolor,1
G22011202G5B,N. concolor,1
G22011704G4B,N. concolor,1
G22010901G4B12,N. concolor,1
G22010904G6B,N. concolor,1
G22010802G6B16,N. concolor,1
G22010801G6A16,N. concolor,1
G22011002G6A13,N. concolor,1
G22012007G6M2,N. concolor,1
G22010205G6B16,N. concolor,1
G22012901G6A16,N. concolor,1
G22012002G6A,N. concolor,1
G22012006G6A19,N. concolor,1
G22012004G6M2,N. concolor,1
G22012903G6A,N. concolor,1
G22011401G6B,N. concolor,1
G22010903G6A,N. concolor,1
G22011801G6B16,N. concolor,1
G21071001G6A19,N. concolor,7
G21070801G6B,N. concolor,7
G21071003G6M2,N. concolor,7
G21071004G6A13,N. concolor,7
G21070802G6A,N. concolor,7
G21070803G6A16,N. concolor,7
G21070804G6A16,N. concolor,7
G21071201G6A13,N. concolor,7
G21071202G6A13,N. concolor,7
G21070803G5B13,N. concolor,7
G21070801G5M3,N. concolor,7
G21070901G5M3,N. concolor,7
G21071102G5A,N. concolor,7
G21030307G4D,N. concolor,3
G21030308G4B09,N. concolor,3
G21030310G4B,N. concolor,3
G21030304G4C12,N. concolor,3
G21030306G4M2,N. concolor,3
G21051402G5B13,N. concolor,11
G21111301G5B13,N. concolor,11
G21110401G6A19,N. concolor,11
G21110402G6A16,N. concolor,11
G21062206G6M2,N. concolor,6
G21062201G6A,N. concolor,6
G21062203G6M2,N. concolor,6
G21062204G6B16,N. concolor,6
G21061801G6B,N. concolor,6
G21110804G6A,N. concolor,11
G21110803G6A19,N. concolor,11
G21101601G6B,N. concolor,10
G21100104G6M2,N. concolor,10
G21111801G6B,N. concolor,11
G21101305G6A16,N. concolor,10
G21100201G6M2,N. concolor,10
G21100202G6M2,N. concolor,10
G21101303G6A,N. concolor,10
G21112201G6B,N. concolor,11
G21110801G6A13,N. concolor,11
G21110702G6A,N. concolor,11
G21101301G6B,N. concolor,10
G21101302G6A,N. concolor,10
G21100105G6A,N. concolor,10
G21100106G6B,N. concolor,10
G21100108G6B16,N. concolor,10
G21101202G6M2,N. concolor,10
G21100101G6A16,N. concolor,10
G21100103G6A13,N. concolor,10
G21101304G6B,N. concolor,10
G21110301G5B13,N. concolor,11
G21111401G5B13,N. concolor,11
G21112501G5A,N. concolor,11
G21092501G4B,N. concolor,9
G21092503G4B12,N. concolor,9
G21092406G4C12,N. concolor,9
G21092402G4M2,N. concolor,9
G21092401G4D,N. concolor,9
G21091902G6A13,N. concolor,9
G21091801G6M2,N. concolor,9
G21091802G6A16,N. concolor,9
G21092201G6A,N. concolor,9
G21092202G6M2,N. concolor,9
G21091901G6A16,N. concolor,9
G21092001G6B,N. concolor,9
G21092301G6A,N. concolor,9
G21092703G6B,N. concolor,9
G21082801G6B,N. concolor,8
G21082103G6M2,N. concolor,8
G21082902G6M2,N. concolor,8
G21082903G6A16,N. concolor,8
G21082904G6B16,N. concolor,8
G21082104G6A13,N. concolor,8
G21082105G6B16,N. concolor,8
G21092701G6M2,N. concolor,9
G21081301G6M2,N. concolor,8
G21081302G6A16,N. concolor,8
G21081303G6B16,N. concolor,8
G21090202G6B,N. concolor,9
G21091803G6A,N. concolor,9
G21090201G6A,N. concolor,9
G21091804G6B,N. concolor,9
G21102803G4D18,N. concolor,10
G21102802G4D,N. concolor,10
G21101502G4B12,N. concolor,10
G21101501G4B15,N. concolor,10
G21112501G4C12,N. concolor,11
G21082901G5M3,N. concolor,8
G21122001G6B,N. concolor,12
G21052504G4B16,N. concolor,5
G21061901G4D19,N. concolor,6
