ID,Species,Leaf_pro,Fruit_pro,Longitude,Latitude,Elevation,month,shannon_entropy
D059,Hoolock_tianxing,0.604347826,0.369565217,98.77271,28.83261,2154,7,8.304920185
C039,Hoolock_tianxing,0.611111111,0.349206349,98.7785,25.22405,2016,7,6.948101395
C040,Hoolock_tianxing,0.611111111,0.349206349,98.77888,25.22404,2046,7,5.964748941
C041,Hoolock_tianxing,0.611111111,0.349206349,98.77896,25.22412,2049,7,6.703517177
B099,Hoolock_tianxing,0.437810945,0.378109453,98.77915,25.21965,2162,4,7.39604067
C043,Hoolock_tianxing,0.611111111,0.349206349,98.77924,25.22287,2146,7,7.978844265
B100,Hoolock_tianxing,0.437810945,0.378109453,98.7794,25.21965,2168,4,6.703650128
B065,Hoolock_tianxing,0.554455446,0.148514851,98.77976,25.21946,2210,3,6.962365311
C042,Hoolock_tianxing,0.611111111,0.349206349,98.77997,25.2241,2115,7,6.698616232
C044,Hoolock_tianxing,0.611111111,0.349206349,98.78018,25.22266,2212,7,8.018627121
C045,Hoolock_tianxing,0.611111111,0.349206349,98.78064,25.22184,2272,7,7.831450014
B084,Hoolock_tianxing,0.554455446,0.148514851,98.78137,25.22353,2272,3,7.578099649
B046,Hoolock_tianxing,0.736842105,0.125,98.78233,25.21702,2316,1,6.125641562
B066,Hoolock_tianxing,0.554455446,0.148514851,98.78257,25.21608,2307,3,7.485270755
B048,Hoolock_tianxing,0.770700637,0.063694268,98.7826,25.21597,2304,2,7.102148739
B064,Hoolock_tianxing,0.770700637,0.063694268,98.78262,25.21621,2296,2,6.93302752
B049,Hoolock_tianxing,0.770700637,0.063694268,98.78275,25.21649,2284,2,7.34515192
B067,Hoolock_tianxing,0.554455446,0.148514851,98.78303,25.216,2278,3,6.516653016
B045,Hoolock_tianxing,0.736842105,0.125,98.78324,25.21702,2244,1,7.100513584
B044,Hoolock_tianxing,0.736842105,0.125,98.78339,25.21699,2246,1,6.037849824
B061,Hoolock_tianxing,0.770700637,0.063694268,98.78381,25.21713,2222,2,6.900816962
C037,Hoolock_tianxing,0.611111111,0.349206349,98.78386,25.22062,2268,7,6.182803593
B063,Hoolock_tianxing,0.770700637,0.063694268,98.78389,25.21616,2265,2,7.875625978
B050,Hoolock_tianxing,0.770700637,0.063694268,98.78392,25.21704,2233,2,8.147814449
B096,Hoolock_tianxing,0.437810945,0.378109453,98.78399,25.21704,2211,4,7.107310565
C050,Hoolock_tianxing,0.611111111,0.349206349,98.78412,25.21639,2253,7,7.155848883
C051,Hoolock_tianxing,0.611111111,0.349206349,98.78414,25.21638,2256,7,6.911968672
X063,Hoolock_tianxing,0.482758621,0.494252874,98.78421,25.21634,2244,12,7.651127167
B098,Hoolock_tianxing,0.437810945,0.378109453,98.78426,25.21738,2202,4,7.802979292
B047,Hoolock_tianxing,0.736842105,0.125,98.78429,25.21737,2206,1,7.796472604
B097,Hoolock_tianxing,0.437810945,0.378109453,98.7844,25.21734,2190,4,7.45642533
C046,Hoolock_tianxing,0.611111111,0.349206349,98.78451,25.22263,2284,7,7.290276394
X068,Hoolock_tianxing,0.482758621,0.494252874,98.784811,25.219751,2223,12,6.979764148
X069,Hoolock_tianxing,0.482758621,0.494252874,98.784817,25.220905,2199,12,8.347114417
B092,Hoolock_tianxing,0.437810945,0.378109453,98.78484,25.2199,2216,4,6.736961056
C036,Hoolock_tianxing,0.611111111,0.349206349,98.78493,25.21972,2222,7,7.898169637
X057,Hoolock_tianxing,0.482758621,0.494252874,98.78505,25.217627,2178,12,7.780468549
B068,Hoolock_tianxing,0.554455446,0.148514851,98.78515,25.21704,2189,3,6.28518143
X058,Hoolock_tianxing,0.482758621,0.494252874,98.785193,25.21774,2164,12,7.074113339
C035,Hoolock_tianxing,0.611111111,0.349206349,98.78533,25.21859,2167,7,8.525469894
X067,Hoolock_tianxing,0.482758621,0.494252874,98.78535,25.21885,2168,12,6.377650443
B043,Hoolock_tianxing,0.736842105,0.125,98.78537,25.21816,2178,1,7.183373441
B040,Hoolock_tianxing,0.736842105,0.125,98.7854,25.2183,2169,1,7.841738016
B041,Hoolock_tianxing,0.736842105,0.125,98.7854,25.2183,2169,1,6.244321272
B042,Hoolock_tianxing,0.736842105,0.125,98.7854,25.2183,2169,1,6.789868362
B083,Hoolock_tianxing,0.554455446,0.148514851,98.78546,25.2216,2220,3,5.992842403
B052,Hoolock_tianxing,0.770700637,0.063694268,98.78549,25.21824,2172,2,6.870700135
B080,Hoolock_tianxing,0.554455446,0.148514851,98.78555,25.2222,2240,3,6.56887876
X066,Hoolock_tianxing,0.482758621,0.494252874,98.78559,25.21834,2167,12,6.566132803
B095,Hoolock_tianxing,0.437810945,0.378109453,98.78567,25.21814,2151,4,7.304867585
B091,Hoolock_tianxing,0.437810945,0.378109453,98.7857,25.21988,2147,4,6.633774012
B058,Hoolock_tianxing,0.770700637,0.063694268,98.78574,25.21854,2174,2,7.86250004
B059,Hoolock_tianxing,0.770700637,0.063694268,98.78574,25.21854,2174,2,8.084074085
B081,Hoolock_tianxing,0.554455446,0.148514851,98.78588,25.22111,2183,3,6.646057324
B082,Hoolock_tianxing,0.554455446,0.148514851,98.78593,25.22073,2154,3,8.066851986
B035,Hoolock_tianxing,0.736842105,0.125,98.786,25.22076,2185,1,7.01738185
B036,Hoolock_tianxing,0.736842105,0.125,98.786,25.22076,2185,1,7.666981283
B037,Hoolock_tianxing,0.736842105,0.125,98.78603,25.21862,2141,1,5.33626166
B030,Hoolock_tianxing,0.736842105,0.125,98.78605,25.22125,2169,1,8.445311565
X055,Hoolock_tianxing,0.482758621,0.494252874,98.786084,25.217759,2146,12,7.663803315
B039,Hoolock_tianxing,0.736842105,0.125,98.78609,25.21787,2137,1,7.544983951
B070,Hoolock_tianxing,0.554455446,0.148514851,98.7861,25.21787,2138,3,6.823341251
B089,Hoolock_tianxing,0.437810945,0.378109453,98.78612,25.21878,2217,4,8.088914895
B069,Hoolock_tianxing,0.554455446,0.148514851,98.78616,25.21795,2143,3,7.561012242
B090,Hoolock_tianxing,0.437810945,0.378109453,98.78622,25.21879,2180,4,7.82837257
B053,Hoolock_tianxing,0.770700637,0.063694268,98.78622,25.21806,2149,2,7.021000935
B055,Hoolock_tianxing,0.770700637,0.063694268,98.78622,25.21983,2174,2,7.392698554
B056,Hoolock_tianxing,0.770700637,0.063694268,98.78622,25.21983,2174,2,7.720183856
B057,Hoolock_tianxing,0.770700637,0.063694268,98.78622,25.21983,2174,2,7.589155013
X056,Hoolock_tianxing,0.482758621,0.494252874,98.78625,25.21814,2131,12,6.94937637
X065,Hoolock_tianxing,0.482758621,0.494252874,98.78625,25.21859,2117,12,7.595088766
B094,Hoolock_tianxing,0.437810945,0.378109453,98.78644,25.21833,2115,4,5.966126162
B071,Hoolock_tianxing,0.554455446,0.148514851,98.78645,25.21815,2118,3,7.279564643
B054,Hoolock_tianxing,0.770700637,0.063694268,98.7866,25.21816,2108,2,7.885486568
B038,Hoolock_tianxing,0.736842105,0.125,98.78663,25.21812,2102,1,7.43477845
B093,Hoolock_tianxing,0.437810945,0.378109453,98.7867,25.21811,2111,4,7.755704599
B077,Hoolock_tianxing,0.554455446,0.148514851,98.78681,25.22114,2106,3,6.462800607
B034,Hoolock_tianxing,0.736842105,0.125,98.78682,25.221,2098,1,7.434834766
B079,Hoolock_tianxing,0.554455446,0.148514851,98.78695,25.22265,2123,3,7.662760822
B033,Hoolock_tianxing,0.736842105,0.125,98.78725,25.22141,2086,1,7.690697623
B085,Hoolock_tianxing,0.437810945,0.378109453,98.78729,25.21845,2029,4,7.773549911
B086,Hoolock_tianxing,0.437810945,0.378109453,98.78729,25.21845,2029,4,5.425985408
C047,Hoolock_tianxing,0.611111111,0.349206349,98.78737,25.21837,2109,7,7.467524099
B031,Hoolock_tianxing,0.736842105,0.125,98.78745,25.22136,2096,1,6.539508684
B032,Hoolock_tianxing,0.736842105,0.125,98.78745,25.22136,2096,1,7.049397112
B072,Hoolock_tianxing,0.554455446,0.148514851,98.7876,25.21915,2127,3,6.896169011
C049,Hoolock_tianxing,0.611111111,0.349206349,98.7878,25.21925,2131,7,6.881448775
C048,Hoolock_tianxing,0.611111111,0.349206349,98.78791,25.21946,2127,7,6.140318708
X062,Hoolock_tianxing,0.482758621,0.494252874,98.787963,25.217454,2077,12,6.608421078
B088,Hoolock_tianxing,0.437810945,0.378109453,98.78848,25.21865,2069,4,7.907086132
B087,Hoolock_tianxing,0.437810945,0.378109453,98.78905,25.21884,2068,4,6.041791982
X059,Hoolock_tianxing,0.482758621,0.494252874,98.79003,25.219043,2025,12,6.668853177
X060,Hoolock_tianxing,0.482758621,0.494252874,98.79019,25.219248,2041,12,7.084092283
E032,Hoolock_tianxing,0.683229814,0.267080745,98.76629,24.83163,2221,6,7.571638771
E031,Hoolock_tianxing,0.683229814,0.267080745,98.76638,24.83191,2230,6,7.843355705
D013,Hoolock_tianxing,0.544802867,0.268817204,98.76639,24.83483,2196,5,7.216184343
D078,Hoolock_tianxing,0.490909091,0.322727273,98.76643,24.83275,2197,8,7.224099277
E028,Hoolock_tianxing,0.683229814,0.267080745,98.76652,24.83221,2217,6,6.997426793
E029,Hoolock_tianxing,0.683229814,0.267080745,98.76652,24.83221,2217,6,8.574003882
E030,Hoolock_tianxing,0.683229814,0.267080745,98.76652,24.83186,2226,6,7.835378121
D040,Hoolock_tianxing,0.604347826,0.369565217,98.76663,24.83179,2018,7,8.273005533
E033,Hoolock_tianxing,0.683229814,0.267080745,98.76669,24.83145,2235,6,7.204452073
D077,Hoolock_tianxing,0.490909091,0.322727273,98.76678,24.83305,2196,8,7.797861686
D041,Hoolock_tianxing,0.604347826,0.369565217,98.76682,24.83194,2231,7,7.318509718
D074,Hoolock_tianxing,0.490909091,0.322727273,98.76744,24.83312,2236,8,8.624898922
E034,Hoolock_tianxing,0.683229814,0.267080745,98.76746,24.83197,2237,6,6.949022337
D076,Hoolock_tianxing,0.490909091,0.322727273,98.76749,24.83364,2203,8,7.00930044
D075,Hoolock_tianxing,0.490909091,0.322727273,98.7675,24.83303,2207,8,8.462272523
D005,Hoolock_tianxing,0.544802867,0.268817204,98.76763,24.83023,2213,5,6.523407967
D043,Hoolock_tianxing,0.604347826,0.369565217,98.76765,24.8313,2221,7,8.199320584
D004,Hoolock_tianxing,0.544802867,0.268817204,98.76771,24.82973,2205,5,6.826751907
D042,Hoolock_tianxing,0.604347826,0.369565217,98.76773,24.83177,2232,7,7.742180208
D003,Hoolock_tianxing,0.544802867,0.268817204,98.76777,24.82967,2202,5,6.667155717
D039,Hoolock_tianxing,0.604347826,0.369565217,98.76796,24.82934,2200,7,7.887309328
D044,Hoolock_tianxing,0.604347826,0.369565217,98.76823,24.831,2217,7,7.031358151
D012,Hoolock_tianxing,0.544802867,0.268817204,98.76824,24.83117,2214,5,7.373876006
D066,Hoolock_tianxing,0.490909091,0.322727273,98.76888,24.82855,2153,8,8.52822467
D079,Hoolock_tianxing,0.490909091,0.322727273,98.76888,24.83179,2194,8,8.2552862
D081,Hoolock_tianxing,0.490909091,0.322727273,98.76888,24.83179,2194,8,8.323184489
D014,Hoolock_tianxing,0.544802867,0.268817204,98.76888,24.83181,2222,5,7.894159571
D065,Hoolock_tianxing,0.490909091,0.322727273,98.76889,24.82829,2149,8,8.710686371
D080,Hoolock_tianxing,0.490909091,0.322727273,98.7689,24.8318,2205,8,8.306034165
D038,Hoolock_tianxing,0.604347826,0.369565217,98.76898,24.82918,2181,7,8.55347142
E025,Hoolock_tianxing,0.683229814,0.267080745,98.76923,24.83125,2201,6,7.503676968
E036,Hoolock_tianxing,0.683229814,0.267080745,98.76923,24.83123,2204,6,7.22652269
D015,Hoolock_tianxing,0.544802867,0.268817204,98.76941,24.83238,2227,5,6.772002959
D070,Hoolock_tianxing,0.490909091,0.322727273,98.76952,24.82951,2148,8,9.004917001
D030,Hoolock_tianxing,0.544802867,0.268817204,98.76959,24.82829,2144,5,7.29581596
E023,Hoolock_tianxing,0.683229814,0.267080745,98.76969,24.83081,2185,6,8.501089592
E024,Hoolock_tianxing,0.683229814,0.267080745,98.76969,24.83081,2185,6,6.647977765
D037,Hoolock_tianxing,0.604347826,0.369565217,98.76974,24.82926,2156,7,8.252783831
