ID,Species,Group,month,spe_month,Leaf_pro,Leaf_level,leaf_group
G21040304G6B,Nomascus_concolor,G6,4,Nomascus_concolor_G6_4,0.553082192,F,high
G21040803G4B16,Nomascus_concolor,G4,4,Nomascus_concolor_G4_4,0.553082192,F,high
G21041501G4B09,Nomascus_concolor,G4,4,Nomascus_concolor_G4_4,0.553082192,F,high
G210426G5M3,Nomascus_concolor,G5,4,Nomascus_concolor_G5_4,0.553082192,F,high
G21040806G4B,Nomascus_concolor,G4,4,Nomascus_concolor_G4_4,0.553082192,F,high
G21040801G4C12,Nomascus_concolor,G4,4,Nomascus_concolor_G4_4,0.553082192,F,high
G21040802G4D,Nomascus_concolor,G4,4,Nomascus_concolor_G4_4,0.553082192,F,high
G21040502G4B09,Nomascus_concolor,G4,4,Nomascus_concolor_G4_4,0.553082192,F,high
G21040504G4B,Nomascus_concolor,G4,4,Nomascus_concolor_G4_4,0.553082192,F,high
G21041301G5M3,Nomascus_concolor,G5,4,Nomascus_concolor_G5_4,0.553082192,F,high
G21040901G6A,Nomascus_concolor,G6,4,Nomascus_concolor_G6_4,0.553082192,F,high
G21040904G6B16,Nomascus_concolor,G6,4,Nomascus_concolor_G6_4,0.553082192,F,high
G21041801G6M2,Nomascus_concolor,G6,4,Nomascus_concolor_G6_4,0.553082192,F,high
G21040701G6M2,Nomascus_concolor,G6,4,Nomascus_concolor_G6_4,0.553082192,F,high
G21040501G6M2,Nomascus_concolor,G6,4,Nomascus_concolor_G6_4,0.553082192,F,high
G21030302G6A,Nomascus_concolor,G6,3,Nomascus_concolor_G6_3,0.311594203,D,high
G21030305G4B16,Nomascus_concolor,G4,3,Nomascus_concolor_G4_3,0.311594203,D,high
G22012009G6B16,Nomascus_concolor,G6,1,Nomascus_concolor_G6_1,0.300337458,D,high
G22011202G6B16,Nomascus_concolor,G6,1,Nomascus_concolor_G6_1,0.300337458,D,high
G22012904G6M2,Nomascus_concolor,G6,1,Nomascus_concolor_G6_1,0.300337458,D,high
G22011004G6M2,Nomascus_concolor,G6,1,Nomascus_concolor_G6_1,0.300337458,D,high
G22012005G6B16,Nomascus_concolor,G6,1,Nomascus_concolor_G6_1,0.300337458,D,high
G22010903G4B12,Nomascus_concolor,G4,1,Nomascus_concolor_G4_1,0.300337458,D,high
G22011801G5B,Nomascus_concolor,G5,1,Nomascus_concolor_G5_1,0.300337458,D,high
G22011102G5B13,Nomascus_concolor,G5,1,Nomascus_concolor_G5_1,0.300337458,D,high
G22011802G5M3,Nomascus_concolor,G5,1,Nomascus_concolor_G5_1,0.300337458,D,high
G22011101G5A,Nomascus_concolor,G5,1,Nomascus_concolor_G5_1,0.300337458,D,high
G22011702G4D,Nomascus_concolor,G4,1,Nomascus_concolor_G4_1,0.300337458,D,high
G22011701G4D18,Nomascus_concolor,G4,1,Nomascus_concolor_G4_1,0.300337458,D,high
G22011703G4B12,Nomascus_concolor,G4,1,Nomascus_concolor_G4_1,0.300337458,D,high
G22010203G6A16,Nomascus_concolor,G6,1,Nomascus_concolor_G6_1,0.300337458,D,high
G22012801G6A19,Nomascus_concolor,G6,1,Nomascus_concolor_G6_1,0.300337458,D,high
G22011001G6A19,Nomascus_concolor,G6,1,Nomascus_concolor_G6_1,0.300337458,D,high
G22011201G5A,Nomascus_concolor,G5,1,Nomascus_concolor_G5_1,0.300337458,D,high
G22012905G6B,Nomascus_concolor,G6,1,Nomascus_concolor_G6_1,0.300337458,D,high
G22012001G6B16,Nomascus_concolor,G6,1,Nomascus_concolor_G6_1,0.300337458,D,high
G22011102G6A19,Nomascus_concolor,G6,1,Nomascus_concolor_G6_1,0.300337458,D,high
G22012003G6B,Nomascus_concolor,G6,1,Nomascus_concolor_G6_1,0.300337458,D,high
G22012902G6A19,Nomascus_concolor,G6,1,Nomascus_concolor_G6_1,0.300337458,D,high
G22011202G5B,Nomascus_concolor,G5,1,Nomascus_concolor_G5_1,0.300337458,D,high
G22011704G4B,Nomascus_concolor,G4,1,Nomascus_concolor_G4_1,0.300337458,D,high
G22010901G4B12,Nomascus_concolor,G4,1,Nomascus_concolor_G4_1,0.300337458,D,high
G22010904G6B,Nomascus_concolor,G6,1,Nomascus_concolor_G6_1,0.300337458,D,high
G22010802G6B16,Nomascus_concolor,G6,1,Nomascus_concolor_G6_1,0.300337458,D,high
G22010801G6A16,Nomascus_concolor,G6,1,Nomascus_concolor_G6_1,0.300337458,D,high
G22011002G6A13,Nomascus_concolor,G6,1,Nomascus_concolor_G6_1,0.300337458,D,high
