ID,Species,Leaf_pro,leaf_group
G21040304G6B,Nomascus_concolor,0.553082192,high
G21040803G4B16,Nomascus_concolor,0.553082192,high
G21041501G4B09,Nomascus_concolor,0.553082192,high
G210426G5M3,Nomascus_concolor,0.553082192,high
G21040806G4B,Nomascus_concolor,0.553082192,high
G21040801G4C12,Nomascus_concolor,0.553082192,high
G21040802G4D,Nomascus_concolor,0.553082192,high
G21040502G4B09,Nomascus_concolor,0.553082192,high
G21040504G4B,Nomascus_concolor,0.553082192,high
G21041301G5M3,Nomascus_concolor,0.553082192,high
G21040901G6A,Nomascus_concolor,0.553082192,high
G21040904G6B16,Nomascus_concolor,0.553082192,high
G21041801G6M2,Nomascus_concolor,0.553082192,high
G21040701G6M2,Nomascus_concolor,0.553082192,high
G21040501G6M2,Nomascus_concolor,0.553082192,high
G21030302G6A,Nomascus_concolor,0.311594203,high
G21030305G4B16,Nomascus_concolor,0.311594203,high
G22012009G6B16,Nomascus_concolor,0.300337458,high
G22011202G6B16,Nomascus_concolor,0.300337458,high
G22012904G6M2,Nomascus_concolor,0.300337458,high
G22011004G6M2,Nomascus_concolor,0.300337458,high
G22012005G6B16,Nomascus_concolor,0.300337458,high
G22010903G4B12,Nomascus_concolor,0.300337458,high
G22011801G5B,Nomascus_concolor,0.300337458,high
G22011102G5B13,Nomascus_concolor,0.300337458,high
G22011802G5M3,Nomascus_concolor,0.300337458,high
G22011101G5A,Nomascus_concolor,0.300337458,high
G22011702G4D,Nomascus_concolor,0.300337458,high
G22011701G4D18,Nomascus_concolor,0.300337458,high
G22011703G4B12,Nomascus_concolor,0.300337458,high
G22010203G6A16,Nomascus_concolor,0.300337458,high
G22012801G6A19,Nomascus_concolor,0.300337458,high
G22011001G6A19,Nomascus_concolor,0.300337458,high
G22011201G5A,Nomascus_concolor,0.300337458,high
G22012905G6B,Nomascus_concolor,0.300337458,high
G22012001G6B16,Nomascus_concolor,0.300337458,high
G22011102G6A19,Nomascus_concolor,0.300337458,high
G22012003G6B,Nomascus_concolor,0.300337458,high
G22012902G6A19,Nomascus_concolor,0.300337458,high
G22011202G5B,Nomascus_concolor,0.300337458,high
G22011704G4B,Nomascus_concolor,0.300337458,high
G22010901G4B12,Nomascus_concolor,0.300337458,high
G22010904G6B,Nomascus_concolor,0.300337458,high
G22010802G6B16,Nomascus_concolor,0.300337458,high
G22010801G6A16,Nomascus_concolor,0.300337458,high
G22011002G6A13,Nomascus_concolor,0.300337458,high
G22012007G6M2,Nomascus_concolor,0.300337458,high
G22010205G6B16,Nomascus_concolor,0.300337458,high
G22012901G6A16,Nomascus_concolor,0.300337458,high
G22012002G6A,Nomascus_concolor,0.300337458,high
G22012006G6A19,Nomascus_concolor,0.300337458,high
G22012004G6M2,Nomascus_concolor,0.300337458,high
G22012903G6A,Nomascus_concolor,0.300337458,high
G22011401G6B,Nomascus_concolor,0.300337458,high
G22010903G6A,Nomascus_concolor,0.300337458,high
G22011801G6B16,Nomascus_concolor,0.300337458,high
G21071001G6A19,Nomascus_concolor,0.252699784,high
G21070801G6B,Nomascus_concolor,0.252699784,high
G21071003G6M2,Nomascus_concolor,0.252699784,high
G21071004G6A13,Nomascus_concolor,0.252699784,high
G21070802G6A,Nomascus_concolor,0.252699784,high
G21070803G6A16,Nomascus_concolor,0.252699784,high
G21070804G6A16,Nomascus_concolor,0.252699784,high
G21071201G6A13,Nomascus_concolor,0.252699784,high
G21071202G6A13,Nomascus_concolor,0.252699784,high
G21070803G5B13,Nomascus_concolor,0.252699784,high
G21070801G5M3,Nomascus_concolor,0.252699784,high
G21070901G5M3,Nomascus_concolor,0.252699784,high
G21071102G5A,Nomascus_concolor,0.252699784,high
G21030307G4D,Nomascus_concolor,0.311594203,high
G21030308G4B09,Nomascus_concolor,0.311594203,high
G21030310G4B,Nomascus_concolor,0.311594203,high
G21030304G4C12,Nomascus_concolor,0.311594203,high
G21030306G4M2,Nomascus_concolor,0.311594203,high
G21051402G5B13,Nomascus_concolor,0.064841499,low
G21111301G5B13,Nomascus_concolor,0.064841499,low
G21110401G6A19,Nomascus_concolor,0.064841499,low
G21110402G6A16,Nomascus_concolor,0.064841499,low
G21062206G6M2,Nomascus_concolor,0.114519427,low
G21062201G6A,Nomascus_concolor,0.114519427,low
G21062203G6M2,Nomascus_concolor,0.114519427,low
G21062204G6B16,Nomascus_concolor,0.114519427,low
G21061801G6B,Nomascus_concolor,0.114519427,low
G21110804G6A,Nomascus_concolor,0.064841499,low
G21110803G6A19,Nomascus_concolor,0.064841499,low
G21101601G6B,Nomascus_concolor,0.033613445,low
G21100104G6M2,Nomascus_concolor,0.033613445,low
G21111801G6B,Nomascus_concolor,0.064841499,low
G21101305G6A16,Nomascus_concolor,0.033613445,low
G21100201G6M2,Nomascus_concolor,0.033613445,low
G21100202G6M2,Nomascus_concolor,0.033613445,low
G21101303G6A,Nomascus_concolor,0.033613445,low
G21112201G6B,Nomascus_concolor,0.064841499,low
G21110801G6A13,Nomascus_concolor,0.064841499,low
G21110702G6A,Nomascus_concolor,0.064841499,low
G21101301G6B,Nomascus_concolor,0.033613445,low
G21101302G6A,Nomascus_concolor,0.033613445,low
G21100105G6A,Nomascus_concolor,0.033613445,low
G21100106G6B,Nomascus_concolor,0.033613445,low
G21100108G6B16,Nomascus_concolor,0.033613445,low
G21101202G6M2,Nomascus_concolor,0.033613445,low
G21100101G6A16,Nomascus_concolor,0.033613445,low
G21100103G6A13,Nomascus_concolor,0.033613445,low
G21101304G6B,Nomascus_concolor,0.033613445,low
G21110301G5B13,Nomascus_concolor,0.064841499,low
G21111401G5B13,Nomascus_concolor,0.064841499,low
G21112501G5A,Nomascus_concolor,0.064841499,low
G21092501G4B,Nomascus_concolor,0.079365079,low
G21092503G4B12,Nomascus_concolor,0.079365079,low
G21092406G4C12,Nomascus_concolor,0.079365079,low
G21092402G4M2,Nomascus_concolor,0.079365079,low
G21092401G4D,Nomascus_concolor,0.079365079,low
G21091902G6A13,Nomascus_concolor,0.079365079,low
G21091801G6M2,Nomascus_concolor,0.079365079,low
G21091802G6A16,Nomascus_concolor,0.079365079,low
G21092201G6A,Nomascus_concolor,0.079365079,low
G21092202G6M2,Nomascus_concolor,0.079365079,low
G21091901G6A16,Nomascus_concolor,0.079365079,low
G21092001G6B,Nomascus_concolor,0.079365079,low
G21092301G6A,Nomascus_concolor,0.079365079,low
G21092703G6B,Nomascus_concolor,0.079365079,low
G21082801G6B,Nomascus_concolor,0.04189044,low
G21082103G6M2,Nomascus_concolor,0.04189044,low
G21082902G6M2,Nomascus_concolor,0.04189044,low
G21082903G6A16,Nomascus_concolor,0.04189044,low
G21082904G6B16,Nomascus_concolor,0.04189044,low
G21082104G6A13,Nomascus_concolor,0.04189044,low
G21082105G6B16,Nomascus_concolor,0.04189044,low
G21092701G6M2,Nomascus_concolor,0.079365079,low
G21081301G6M2,Nomascus_concolor,0.04189044,low
G21081302G6A16,Nomascus_concolor,0.04189044,low
G21081303G6B16,Nomascus_concolor,0.04189044,low
G21090202G6B,Nomascus_concolor,0.079365079,low
G21091803G6A,Nomascus_concolor,0.079365079,low
G21090201G6A,Nomascus_concolor,0.079365079,low
G21091804G6B,Nomascus_concolor,0.079365079,low
G21102803G4D18,Nomascus_concolor,0.033613445,low
G21102802G4D,Nomascus_concolor,0.033613445,low
G21101502G4B12,Nomascus_concolor,0.033613445,low
G21101501G4B15,Nomascus_concolor,0.033613445,low
G21112501G4C12,Nomascus_concolor,0.064841499,low
G21082901G5M3,Nomascus_concolor,0.04189044,low
G21122001G6B,Nomascus_concolor,0.16728281,middle
G21052504G4B16,Nomascus_concolor,0.14612868,middle
G21061901G4D19,Nomascus_concolor,0.114519427,middle
G21062501G4D16,Nomascus_concolor,0.114519427,middle
G21062601G4D16,Nomascus_concolor,0.114519427,middle
G21121502G4B15,Nomascus_concolor,0.16728281,middle
G21121503G4B12,Nomascus_concolor,0.16728281,middle
G21120502G4D,Nomascus_concolor,0.16728281,middle
G22021303G6A,Nomascus_concolor,0.148779103,middle
G22020802G6M2,Nomascus_concolor,0.148779103,middle
G22020803G6A,Nomascus_concolor,0.148779103,middle
G21122901G6M2,Nomascus_concolor,0.16728281,middle
G21122201G6M2,Nomascus_concolor,0.16728281,middle
G21121301G5A,Nomascus_concolor,0.16728281,middle
G21122302G4M2,Nomascus_concolor,0.16728281,middle
G21121501G4D,Nomascus_concolor,0.16728281,middle
G22020905G4M2,Nomascus_concolor,0.148779103,middle
G22020901G4B12,Nomascus_concolor,0.148779103,middle
G21121504G4B15,Nomascus_concolor,0.16728281,middle
G21122103G4D18,Nomascus_concolor,0.16728281,middle
G22020902G4B15,Nomascus_concolor,0.148779103,middle
G22020903G4C12,Nomascus_concolor,0.148779103,middle
G21122101G4D15,Nomascus_concolor,0.16728281,middle
G21122102G4D,Nomascus_concolor,0.16728281,middle
G21120601G4C12,Nomascus_concolor,0.16728281,middle
G22020904G4B19,Nomascus_concolor,0.148779103,middle
G21122003G4B15,Nomascus_concolor,0.16728281,middle
G21122002G4B12,Nomascus_concolor,0.16728281,middle
G21120602G4D,Nomascus_concolor,0.16728281,middle
G21120503G4C12,Nomascus_concolor,0.16728281,middle
G22021302G4D18,Nomascus_concolor,0.148779103,middle
G22021303G4B12,Nomascus_concolor,0.148779103,middle
G22020803G4D15,Nomascus_concolor,0.148779103,middle
G22020804G4C12,Nomascus_concolor,0.148779103,middle
G22020802G4M2,Nomascus_concolor,0.148779103,middle
G22020805G4B,Nomascus_concolor,0.148779103,middle
G22020402G6M2,Nomascus_concolor,0.148779103,middle
G21121503G6A13,Nomascus_concolor,0.16728281,middle
G22021402G6B,Nomascus_concolor,0.148779103,middle
G21122202G6A,Nomascus_concolor,0.16728281,middle
G22021102G6M2,Nomascus_concolor,0.148779103,middle
G22021101G4D,Nomascus_concolor,0.148779103,middle
G22021102G4C12,Nomascus_concolor,0.148779103,middle
G22021201G4D,Nomascus_concolor,0.148779103,middle
G21122301G4M2,Nomascus_concolor,0.16728281,middle
G22020203G6A,Nomascus_concolor,0.148779103,middle
G21122701G6M2,Nomascus_concolor,0.16728281,middle
G21120202G6B,Nomascus_concolor,0.16728281,middle
G22020301G6B16,Nomascus_concolor,0.148779103,middle
G22021401G6A19,Nomascus_concolor,0.148779103,middle
G21122601G6A16,Nomascus_concolor,0.16728281,middle
G21120304G6B16,Nomascus_concolor,0.16728281,middle
G21122004G4D,Nomascus_concolor,0.16728281,middle
G22021301G4D,Nomascus_concolor,0.148779103,middle
G21121501G6A,Nomascus_concolor,0.16728281,middle
G22020202G6A19,Nomascus_concolor,0.148779103,middle
G22021703G6A,Nomascus_concolor,0.148779103,middle
G21120301G6A19,Nomascus_concolor,0.16728281,middle
G21061902G4M2,Nomascus_concolor,0.114519427,middle
G21061904G4B09,Nomascus_concolor,0.114519427,middle
G21061905G4D,Nomascus_concolor,0.114519427,middle
G22020806G4B12,Nomascus_concolor,0.148779103,middle
G22021101G6M2,Nomascus_concolor,0.148779103,middle
G22020902G6B,Nomascus_concolor,0.148779103,middle
G21052506G4D,Nomascus_concolor,0.14612868,middle
G22021103G6B16,Nomascus_concolor,0.148779103,middle
G21062201G5M3,Nomascus_concolor,0.114519427,middle
G21062502G4B12,Nomascus_concolor,0.114519427,middle
G21051602G6B,Nomascus_concolor,0.14612868,middle
G21052001G6A13,Nomascus_concolor,0.14612868,middle
G21050401G6A,Nomascus_concolor,0.14612868,middle
G21050704G6M2,Nomascus_concolor,0.14612868,middle
G21050701G6A,Nomascus_concolor,0.14612868,middle
G21051302G6M2,Nomascus_concolor,0.14612868,middle
G21051902G6B16,Nomascus_concolor,0.14612868,middle
